Term,Role,Attribute,Freq,numdocs,_keep,Key,Parent,Parent_id,_ispar,Weight
全農,,Alpha,2,1,Y,1,,1,,1
組織,,Alpha,1,1,Y,2,,2,,1
パッケージ,,Alpha,1,1,Y,3,,3,,1
官能,,Alpha,1,1,Y,4,,4,,1
山岳,,Alpha,2,1,Y,5,,5,,1
来る,,Alpha,3,2,Y,6,,6,+,0.8389078949
盆地,,Alpha,2,1,Y,7,,7,,1
相手,,Alpha,3,1,Y,8,,8,,1
でした,,Alpha,5,4,Y,3818,1576,1576,.,0.6628456418
ストーリー,,Alpha,1,1,Y,9,,9,,1
以前,,Alpha,1,1,Y,10,,10,,1
簡単だ,,Alpha,2,2,Y,11,,11,+,0.8245749364
大型スーパー,nlpNounGroup,Alpha,1,1,Y,12,,12,,1
作戦,,Alpha,1,1,Y,13,,13,,1
背景,,Alpha,2,1,Y,14,,14,,1
部長,,Alpha,4,2,Y,15,,15,,0.8576814834
鎌倉,,Alpha,1,1,Y,16,,16,,1
言い分,,Alpha,1,1,Y,17,,17,,1
勤務成績,,Alpha,1,1,Y,18,,18,,1
見学する,,Alpha,1,1,Y,19,,19,+,1
県庁所在地,,Alpha,1,1,Y,20,,20,,1
ホームページ,,Alpha,4,4,Y,21,,21,,0.6491498728
個人特定,nlpNounGroup,Alpha,1,1,Y,22,,22,,1
杖立温泉,nlpNounGroup,Alpha,1,1,Y,23,,23,,1
して,,Alpha,46,23,Y,3819,1538,1538,.,0.2641130828
名板貸し,nlpNounGroup,Alpha,1,1,Y,24,,24,,1
対し,,Alpha,6,2,Y,3820,31,31,.,0.8389078949
損害賠償,,Alpha,2,1,Y,25,,25,,1
[鱒,nlpNounGroup,Alpha,1,1,Y,26,,26,,1
場合,,Alpha,16,8,Y,27,,27,,0.5341343487
老夫婦,,Alpha,1,1,Y,28,,28,,1
表示する,,Alpha,1,1,Y,29,,29,,1
実績,,Alpha,1,1,Y,30,,30,,1
対す,,Alpha,9,5,Y,31,,31,+,0.6388324424
沈下,,Alpha,1,1,Y,32,,32,,1
振興課,,Alpha,1,1,Y,33,,33,,1
芦ノ湖,,Alpha,1,1,Y,34,,34,,1
枕金,,Alpha,1,1,Y,35,,35,,1
あたり,,Alpha,1,1,Y,36,,36,,1
ところで,,Alpha,2,2,Y,37,,37,,0.8245749364
もつれて,,Alpha,1,1,Y,3821,50,50,.,1
形成する,,Alpha,1,1,Y,38,,38,+,1
黙認して,,Alpha,1,1,Y,3822,1562,1562,.,1
遼,,Alpha,2,1,Y,39,,39,,1
nissan,,Alpha,1,1,Y,40,,40,,1
マイ,,Alpha,1,1,Y,41,,41,,1
具合,,Alpha,1,1,Y,42,,42,,1
不明です,,Alpha,1,1,Y,3823,1804,1804,.,1
しれ,,Alpha,2,2,Y,3824,2439,2439,.,0.8245749364
工場,,Alpha,1,1,Y,43,,43,,1
話する,,Alpha,1,1,Y,44,,44,+,1
しろ,,Alpha,1,1,Y,3825,1538,1538,.,1
最初,,Alpha,2,2,Y,45,,45,,0.8245749364
-65-1831 動物,nlpNounGroup,Alpha,1,1,Y,46,,46,,1
巡り,,Alpha,1,1,Y,47,,47,,1
簡単に,,Alpha,2,2,Y,3826,11,11,.,0.8245749364
名張市立百合,nlpNounGroup,Alpha,1,1,Y,48,,48,,1
卵,,Alpha,1,1,Y,49,,49,,1
基づき,,Alpha,1,1,Y,3827,58,58,.,1
頑張り,,Alpha,1,1,Y,3828,59,59,.,1
もつれる,,Alpha,1,1,Y,50,,50,+,1
-4363,,Num,1,1,Y,51,,51,,1
活動,,Alpha,2,2,Y,52,,52,,0.8245749364
上回る,,Alpha,1,1,Y,53,,53,+,1
メニュー,,Alpha,3,2,Y,54,,54,,0.8389078949
位置する,,Alpha,2,2,Y,55,,55,+,0.8245749364
位置する,,Alpha,1,1,Y,55,55,55,.,0.8245749364
変更する,,Alpha,1,1,Y,56,,56,,1
住み,,Alpha,6,1,Y,3829,3772,3772,.,1
サイト,,Alpha,1,1,Y,57,,57,,1
基づく,,Alpha,4,3,Y,58,,58,+,0.7368624046
